账号,微博,时间,肺炎相关,转发,评论,点赞,mid,地址
央视新闻,【承诺“名医”整容，麻醉后竟换人！#韩国曝幽灵整容数百人丧命#】最近，有媒体曝光韩国整形行业“幽灵手术”。“幽灵手术”就是术前承诺某院长主刀手术，但是实际进行手术的是另外一个人。韩国整形医生金善雄表示，自2000年初至今，已有200-300人因“幽灵手术”丧命，而法律对此并没有进行明确规定， ...展开全文c,12/21/2019 9:46,0,3950,8673,108582,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlLsBmMnk?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【转运成功！#长征五号遥三火箭抵达发射区#】今天，承载着长征五号遥三火箭的活动发射平台，驶出发射场垂直测试厂房，平稳行驶约2小时后，安全转运至发射区。完成火箭功能检查和联合测试，并确认最终状态后，火箭将加注推进剂，计划于12月底前后择机实施飞行试验任务。转发期待！#胖五再出征#！ ...展开全文c,12/21/2019 10:27,0,1035,688,3939,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlLJjEe9A?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【超萌！#华南虎宝宝全国征名#】华南虎是我国特有的虎种，是我国一级保护动物。近日，广州动物园两个月大的华南虎宝宝面向社会公开征名。来说说，起啥名字好呢？今天，#央视新闻微直播#带你围观呆萌小老虎！快来看！（央视记者张琦） O央视新闻的微博直播 .,12/21/2019 10:38,0,483,3663,17283,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlLNQ8LnK?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#澳门珠海首次联合烟花汇演#你期待吗？】明晚9时，澳门特区政府与珠海将首次联合举行烟花汇演，庆祝#澳门回归20年#。届时，16万枚烟花将绽放夜空，还将出现“20”字样烟花；无人机将组合成大三巴牌坊、港珠澳大桥等图案，及“澳珠一家亲”等字样。转起，祝福澳门！（澎湃新闻）,12/21/2019 11:21,0,761,638,5041,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlM5elcqv?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#康辉撒贝宁讨论饭圈女孩# 转发分享今日份快乐源泉！】#主持人大赛#后台，康辉、撒贝宁讨论网络热词“饭圈女孩”。康辉竟然不知道“饭圈”有什么用语？撒贝宁向他投去了嫌弃的眼神，甚至还扬言要把自己的应援队伍解散！ L央视新闻的微博视频,12/21/2019 12:03,0,14351,7861,318367,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlMmvdrC9?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#2020元旦档#要来了！你pick哪一部？】2020元旦档大片云集：讲述人与宠物间温暖故事的《宠爱》；内地警匪片中第一部完全以特警为主角的《特警队》；以福建公安边防部队真实案件为素材的《利刃破冰》，还有《解放·终局营救》、《亲爱的新年好》、《叶问4：完结篇》……你期待哪一部？,12/21/2019 12:48,0,715,1546,14732,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlMEzolri?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#胖五遥二失利后测发大厅画面首公开#】今天，经过垂直转运，#长征五号遥三火箭抵达发射区#，计划于12月底前后择机发射。2017年7月2日，长征五号遥二火箭在海南文昌航天发射场实施发射。火箭飞行至346秒时突发故障，发射任务失利。失利后，长五测发大厅画面首次公开↓↓时隔两年，“胖五”将“王者归 ...展开全文c,12/21/2019 13:47,0,1031,560,4038,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlN2Htiph?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【愿平安！#吉林通化大客车侧滑坠江# 致4人死亡，多人受伤】21日，一辆大客车在通化市东昌区206医院附近发生交通事故，车辆发生侧滑坠落江边，部分车体落水。车辆核载39人，实载39人。目前受困人员已全部救出，并送往医院救治，4人经抢救无效死亡。伤员救治等工作正在进行。L沸点国际的秒拍视频 （央 ...展开全文c,12/21/2019 14:15,0,295,619,1657,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlNe4vXkd?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#你给自己的2019打几分#？】不算今天，#距离2020年只剩10天#！回顾这一年，2019的“期末考试”你给自己打多少分？如果不满意，说说你的“错题”；如果满意，晒晒你的“成绩单”↓↓↓ R央视新闻的微博投票,12/21/2019 14:58,0,1636,1762,174249,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlNvfu5Ns?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#8名女子占机动车道热舞拍视频# 1分钟内3辆车被逼逆行】近日，广东@揭阳交警市区二大队 接到举报称，一舞蹈室的8名女子占用机动车道跳舞并拍摄视频。视频中，短短1分钟就有3辆车被迫压双黄实线变道逆行。目前交警部门已约谈包括舞室负责人在内的9人，并对她们进行了批评教育。L时间视频的微博视频  ...展开全文c,12/21/2019 15:37,0,1432,2041,12324,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlNLo1ViD?from=page_1002062656274875_profile&wvr=6&mod=weibotime
